Date,Open,High,Low,Close,Adj Close,Volume
2014-07-30,149000.000000,155800.000000,146600.000000,153800.000000,151956.062500,1305925
2014-07-31,155800.000000,157000.000000,147400.000000,149800.000000,148004.015625,1555355
2014-08-01,147600.000000,155000.000000,147200.000000,152800.000000,150968.062500,733185
2014-08-04,154600.000000,156800.000000,154000.000000,156600.000000,154722.500000,593540
2014-08-05,157600.000000,157800.000000,150600.000000,152400.000000,150572.843750,743365
2014-08-06,152000.000000,152000.000000,149200.000000,151400.000000,149584.828125,488645
2014-08-07,150600.000000,151400.000000,147200.000000,149000.000000,147213.640625,429485
2014-08-08,151000.000000,154000.000000,150200.000000,153800.000000,151956.062500,713720
2014-08-11,156000.000000,156000.000000,151000.000000,152000.000000,150177.640625,377565
2014-08-12,153400.000000,156400.000000,152400.000000,154200.000000,152351.281250,578805
2014-08-13,154200.000000,160200.000000,154000.000000,160000.000000,158081.734375,1026920
2014-08-14,160000.000000,161000.000000,157000.000000,158800.000000,156896.140625,455890
2014-08-18,160000.000000,160600.000000,157800.000000,158800.000000,156896.140625,375020
2014-08-19,160800.000000,162200.000000,158800.000000,160000.000000,158081.734375,476525
2014-08-20,160800.000000,161400.000000,156800.000000,157800.000000,155908.093750,388350
2014-08-21,156000.000000,156600.000000,151600.000000,151800.000000,149980.031250,649135
2014-08-22,151800.000000,155400.000000,151800.000000,154800.000000,152944.078125,244795
2014-08-25,156000.000000,156600.000000,153800.000000,155400.000000,153536.890625,232945
2014-08-26,156800.000000,157200.000000,154400.000000,155800.000000,153932.093750,264250
2014-08-27,155400.000000,159200.000000,154400.000000,156000.000000,154129.687500,352130
2014-08-28,156000.000000,156600.000000,153000.000000,153000.000000,151165.656250,324345
2014-08-29,153800.000000,155600.000000,152800.000000,153600.000000,151758.437500,345920
2014-09-01,153600.000000,155200.000000,152600.000000,153000.000000,151165.656250,133480
2014-09-02,152600.000000,154200.000000,152200.000000,152600.000000,150770.468750,257735
2014-09-03,152600.000000,153000.000000,150000.000000,150000.000000,148201.609375,432145
2014-09-04,150000.000000,151000.000000,149200.000000,150000.000000,148201.609375,430775
2014-09-05,150000.000000,150800.000000,143800.000000,145000.000000,143261.578125,777645
2014-09-11,144000.000000,144600.000000,139600.000000,139800.000000,138123.921875,1330575
2014-09-12,141000.000000,145600.000000,140400.000000,141600.000000,139902.312500,895130
2014-09-15,141200.000000,144000.000000,141000.000000,142000.000000,140297.515625,318670
2014-09-16,142000.000000,146800.000000,141600.000000,145400.000000,143656.765625,593705
2014-09-17,149800.000000,150000.000000,147200.000000,148600.000000,146818.421875,522825
2014-09-18,160200.000000,161000.000000,153200.000000,158000.000000,156105.718750,2086440
2014-09-19,157200.000000,160000.000000,156600.000000,158400.000000,156500.937500,720890
2014-09-22,157000.000000,159200.000000,153000.000000,158000.000000,156105.718750,750890
2014-09-23,153800.000000,166800.000000,153400.000000,166800.000000,164800.203125,1736755
2014-09-24,164800.000000,168400.000000,163400.000000,166600.000000,164602.625000,1100135
2014-09-25,165600.000000,166800.000000,161600.000000,161600.000000,159662.546875,658485
2014-09-26,160000.000000,165600.000000,159600.000000,164200.000000,162231.390625,501630
2014-09-29,164200.000000,170000.000000,163000.000000,166000.000000,164009.796875,781335
2014-09-30,162600.000000,163800.000000,161000.000000,161400.000000,159464.953125,2575375
2014-10-01,160600.000000,164000.000000,156600.000000,160800.000000,158872.125000,721370
2014-10-02,158400.000000,162800.000000,158200.000000,158400.000000,156500.937500,521090
2014-10-06,158600.000000,159800.000000,155000.000000,155800.000000,153932.093750,510130
2014-10-07,155800.000000,157600.000000,152600.000000,154000.000000,152153.656250,371400
2014-10-08,153800.000000,157800.000000,153600.000000,156800.000000,154920.109375,497105
2014-10-10,154600.000000,155200.000000,147000.000000,148000.000000,146225.609375,1026520
2014-10-13,147800.000000,154000.000000,144600.000000,151200.000000,149387.250000,717780
2014-10-14,151200.000000,151800.000000,147000.000000,151600.000000,149782.453125,667855
2014-10-15,151400.000000,156400.000000,149600.000000,156400.000000,154524.890625,567815
2014-10-16,153000.000000,159000.000000,153000.000000,157000.000000,155117.703125,579475
2014-10-17,157000.000000,159600.000000,153200.000000,153200.000000,151363.265625,365495
2014-10-20,154200.000000,158800.000000,153200.000000,156800.000000,154920.109375,240780
2014-10-21,156000.000000,160000.000000,155200.000000,159200.000000,157291.328125,360270
2014-10-22,159800.000000,162400.000000,158600.000000,159600.000000,157686.515625,471610
2014-10-23,160000.000000,161600.000000,157200.000000,158800.000000,156896.140625,289955
2014-10-24,158800.000000,159600.000000,153400.000000,156000.000000,154129.687500,254975
2014-10-27,156200.000000,157000.000000,154600.000000,155400.000000,153536.890625,233680
2014-10-28,156400.000000,161200.000000,155000.000000,160800.000000,158872.125000,318980
2014-10-29,162200.000000,162200.000000,154600.000000,155600.000000,153734.453125,600500
2014-10-30,156000.000000,157800.000000,147200.000000,150000.000000,148201.609375,1272975
2014-10-31,151000.000000,152000.000000,149400.000000,150800.000000,148992.046875,701895
2014-11-03,149000.000000,151800.000000,148800.000000,149800.000000,148004.015625,578200
2014-11-04,149800.000000,151800.000000,148200.000000,150200.000000,148399.234375,624950
2014-11-05,151600.000000,153400.000000,149200.000000,153000.000000,151165.656250,461215
2014-11-06,153200.000000,153200.000000,148400.000000,149200.000000,147411.218750,457815
2014-11-07,148000.000000,150000.000000,146200.000000,148600.000000,146818.421875,518065
2014-11-10,147400.000000,150000.000000,147400.000000,148600.000000,146818.421875,437395
2014-11-11,148000.000000,150200.000000,147800.000000,148400.000000,146620.781250,589085
2014-11-12,150000.000000,151600.000000,147600.000000,149800.000000,148004.015625,644875
2014-11-13,149000.000000,153000.000000,149000.000000,152600.000000,150770.468750,487205
2014-11-14,152400.000000,154800.000000,150800.000000,152200.000000,150375.250000,358985
2014-11-17,150800.000000,152400.000000,150000.000000,152200.000000,150375.250000,343895
