Date,Open,High,Low,Close,Adj Close,Volume,next_price,next_rtn,log_return,CCI,MA5,MA10,RASD5,RASD10,MACD,ATR,ub,middle,lb,MTM1,MTM3,ROC,WPR,S&P500,SOX,VIX,KOSPI
2013-09-23,34300.0,34300.0,34000.0,34300.0,31561.298828125,5070,31377.26171875,0.0,0.005848167873485692,-83.45049794961939,34380.0,34700.0,502.62816419830153,487.4791631703404,-91.99173746254382,746.9272822723777,35582.29366865406,34552.5,33522.70633134594,200.0,-50.0,-0.723589001447178,-87.5,1701.8399658203125,491.2900085449219,14.3100004196167,2009.4100341796875
2013-09-24,34000.0,34250.0,34000.0,34100.0,31377.26171875,7100,31423.275390625,0.002941176470588225,-0.0058481678734856836,-84.60486737763271,34230.0,34690.0,414.0779518706564,467.52490979313495,-122.97374423770088,715.0039049672079,35580.96316101235,34532.5,33484.03683898765,-200.0,-200.0,-0.727802037845704,-95.83333333333333,1697.4200439453125,494.7300109863281,14.079999923706055,2007.0999755859375
2013-09-25,34250.0,34250.0,33950.0,34150.0,31423.275390625,5350,31377.26171875,-0.0029197080291970545,0.0014653912920808815,-74.27975492113245,34190.0,34680.0,328.7549864916802,445.2894242468316,-141.85738209018018,685.3607688981216,35577.632203135734,34537.5,33497.367796864266,50.0,50.0,-4.207573632538574,-91.83673469387755,1692.77001953125,494.95001220703125,14.010000228881836,1998.06005859375
2013-09-26,34000.0,34250.0,34000.0,34100.0,31377.26171875,8350,31469.279296875,0.002941176470588225,-0.001465391292080746,-65.28497409326513,34150.0,34565.0,220.53758312297296,411.011588160345,-159.02425069721357,654.2635711196843,35575.66403818999,34540.0,33504.33596181001,-50.0,-200.0,-3.672316384180796,-93.87755102040816,1698.6700439453125,494.7099914550781,14.0600004196167,2007.3199462890625
2013-09-27,33750.0,34250.0,33600.0,34200.0,31469.279296875,5080,31285.244140625,0.01333333333333342,0.002928328031836902,-76.95668001456178,34170.0,34415.0,120.36950895307469,353.4564527678565,-162.684626378541,653.9590303254212,35568.331969448074,34550.0,33531.668030551926,100.0,100.0,-1.4409221902017322,-78.57142857142857,1691.75,490.80999755859375,15.460000038146973,2011.800048828125
2013-09-30,33900.0,34200.0,33750.0,34000.0,31285.244140625,10220,31285.244140625,0.002949852507374562,-0.005865256359386747,-77.66714082503532,34110.0,34245.0,83.59602410170906,293.1120941500059,-179.6529021815295,639.3905281593196,35575.66403818999,34540.0,33504.33596181001,-200.0,-150.0,-1.8759018759018753,-85.71428571428571,1681.550048828125,490.8299865722656,16.600000381469727,1996.9599609375
2013-10-01,33800.0,34200.0,33800.0,34000.0,31285.244140625,1710,31285.244140625,0.00591715976331364,0.0,-67.26726726726764,34090.0,34160.0,78.05536487317104,246.06665837191434,-190.89980883992394,622.2912047193682,35528.55669079738,34490.0,33451.44330920262,0.0,-100.0,-1.7341040462427793,-85.71428571428571,1695.0,495.7699890136719,15.539999961853027,1998.8699951171875
2013-10-02,34000.0,34150.0,34000.0,34000.0,31285.244140625,1710,31285.244140625,0.0,0.0,-55.13580246913613,34060.0,34125.0,75.7250620933477,202.2400242925146,-197.53599144875625,588.5561186679848,35518.58395982558,34460.0,33401.41604017442,0.0,-200.0,-1.7341040462427793,-85.71428571428571,1693.8699951171875,495.1000061035156,16.600000381469727,1999.469970703125
2013-10-04,34000.0,34000.0,34000.0,34000.0,31285.244140625,4690,31285.244140625,0.0,0.0,-61.47015293537263,34040.0,34095.0,76.23312870851802,148.38535591574615,-200.48415740783093,546.5163959059859,35464.105914779866,34412.5,33360.894085220134,0.0,0.0,-0.5847953216374324,-85.71428571428571,1690.5,497.7200012207031,16.739999771118164,1996.97998046875
2013-10-07,33800.0,34200.0,33800.0,34000.0,31285.244140625,5290,31331.255859375,0.00591715976331364,0.0,-64.97890295358725,34000.0,34085.0,61.26649916142226,90.81800405724911,-200.50925429989002,536.0509390555583,35445.173515243514,34382.5,33319.826484756486,0.0,0.0,0.0,-85.71428571428571,1676.1199951171875,495.0899963378906,19.40999984741211,1994.4200439453125
2013-10-08,34000.0,34150.0,34000.0,34050.0,31331.255859375,42500,31285.244140625,0.0014705882352941124,0.0014696358637564626,-33.333333333337144,34010.0,34060.0,52.00000000000066,67.7980120508555,-194.25530737144436,508.47587198016123,35445.5515003978,34380.0,33314.4484996022,50.0,50.0,2.2522522522522515,-68.96551724137932,1655.449951171875,486.82000732421875,20.34000015258789,2002.760009765625
2013-10-10,34000.0,34200.0,34000.0,34000.0,31285.244140625,5030,31285.244140625,0.0,-0.0014696358637565831,-18.4496124031042,34010.0,34050.0,40.00000000000066,59.027682436586495,-191.13035969392513,486.44188112443544,35445.825264622465,34370.0,33294.174735377535,-50.0,0.0,2.874432677760974,-52.94117647058823,1692.56005859375,496.4800109863281,16.479999542236328,2001.4000244140625
2013-10-11,34000.0,34150.0,33850.0,34000.0,31285.244140625,1880,31377.26171875,0.0,0.0,-74.66666666667058,34010.0,34035.0,28.00000000000066,51.86253104667482,-186.50391510676855,473.12460390126154,35444.36475699601,34357.5,33270.63524300399,0.0,0.0,-0.1468428781204123,-52.94117647058823,1703.199951171875,497.3800048828125,15.720000267028809,2024.9000244140625
2013-10-14,33900.0,34100.0,33350.0,34100.0,31377.26171875,2190,31331.255859375,0.005899705014749346,0.002936928327549875,-202.51572327044818,34030.0,34035.0,20.00000000000066,48.11656435425998,-172.77659908997157,492.9014179083143,35310.94015648801,34300.0,33289.05984351199,100.0,50.0,0.2941176470588225,-21.05263157894737,1710.1400146484375,500.9800109863281,16.06999969482422,2020.27001953125
2013-10-15,34100.0,34100.0,33650.0,34050.0,31331.255859375,70,31745.328125,-0.0014662756598240456,-0.001467292463793275,-104.79041916167414,34040.0,34020.0,27.483314773548546,44.37490696748604,-164.041219315106,489.83703091486325,35001.894671068076,34217.5,33433.105328931924,-50.0,50.0,0.14705882352941124,-22.22222222222222,1698.06005859375,496.5,18.65999984741211,2040.9599609375
2013-10-16,34500.0,34700.0,34100.0,34500.0,31745.328125,5580,31837.34765625,0.0,0.013129379798999924,313.03155006859635,34130.0,34070.0,61.21923930177496,56.609619650888455,-119.43040929986455,501.27724299237303,34578.540378111175,34157.5,33736.459621888825,450.0,500.0,0.8771929824561431,-14.814814814814815,1721.5400390625,501.5799865722656,14.710000038146973,2034.6099853515625
2013-10-17,34550.0,34950.0,34500.0,34600.0,31837.34765625,3600,31745.328125,0.0014471780028944004,0.002894486410478974,285.69105691057473,34250.0,34130.0,107.01883769372989,73.50941884686593,-75.1406816890667,497.6145827786321,34491.26579386362,34145.0,33798.73420613638,100.0,500.0,1.764705882352935,-21.875,1733.1500244140625,505.0899963378906,13.479999542236328,2040.6099853515625
2013-10-18,34600.0,34600.0,34500.0,34500.0,31745.328125,1210,31837.34765625,-0.0028901734104046506,-0.002894486410478921,149.5890410958964,34350.0,34180.0,148.62585469769542,88.31292734884869,-47.56165656164376,469.2135411515869,34521.925229241315,34152.5,33783.074770758685,-100.0,450.0,0.29069767441860517,-28.125,1744.5,506.44000244140625,13.039999961853027,2052.39990234375
2013-10-21,34550.0,34600.0,34550.0,34600.0,31837.34765625,130,31331.255859375,0.0014471780028944004,0.002894486410478974,123.91518737672959,34450.0,34240.0,181.61365776153383,100.80682888076788,-17.434937085039564,442.84114535504494,34581.35383893351,34167.5,33753.64616106649,100.0,100.0,-1.9830028328611915,-21.875,1744.6600341796875,508.0400085449219,13.15999984741211,2053.010009765625
2013-10-22,34550.0,34550.0,33900.0,34050.0,31331.255859375,4510,30963.1953125,-0.01447178002894356,-0.016023866209478856,-0.7135575942898855,34450.0,34245.0,215.11814605182434,121.30073041268709,-37.507337072485825,461.2096349725417,34581.0528812543,34165.0,33748.9471187457,-550.0,-550.0,-2.7142857142857135,-56.25,1754.6700439453125,507.1199951171875,13.329999923706055,2056.1201171875
2013-10-23,33850.0,34000.0,33650.0,33650.0,30963.1953125,6600,31423.275390625,-0.005908419497784312,-0.011816937879364248,-109.883720930232,34280.0,34205.0,252.37555456060863,156.79739693119242,-84.71497424701374,456.83751818878875,34599.699101026534,34132.5,33665.300898973466,-400.0,-850.0,-3.719599427753939,-81.25,1746.3800048828125,490.1099853515625,13.420000076293945,2035.75
